windows,total_calls,met_standard,avg_wait,avg_handle,sla_pct,breach,next_breach,calls_per_agent,agents_needed,staffing_gap,call_volume_change,wait_time_change,hour,day_of_week,is_monday,is_weekend
2021-01-01 08:00:00,12,11,6.0,339.75,91.66666666666666,1,0,0.18875,2.265,0.0,0.0,0.0,8,4,0,0
2021-01-01 08:30:00,8,8,0.0,709.875,100.0,0,0,0.394375,3.155,0.8899999999999997,-0.33333333333333337,-1.0,8,4,0,0
2021-01-01 09:00:00,5,5,0.0,228.4,100.0,0,0,0.12688888888888888,0.6344444444444444,-2.520555555555555,-0.375,0.0,9,4,0,0
2021-01-01 09:30:00,5,5,0.0,385.4,100.0,0,0,0.21411111111111109,1.0705555555555555,0.4361111111111111,0.0,0.0,9,4,0,0
2021-01-01 10:00:00,7,7,0.0,353.85714285714283,100.0,0,0,0.19658730158730156,1.3761111111111108,0.30555555555555536,0.3999999999999999,0.0,10,4,0,0
2021-01-01 10:30:00,3,3,0.0,260.0,100.0,0,0,0.14444444444444443,0.4333333333333333,-0.9427777777777775,-0.5714285714285714,0.0,10,4,0,0
2021-01-01 11:00:00,9,9,0.0,140.0,100.0,0,0,0.07777777777777778,0.7,0.26666666666666666,2.0,0.0,11,4,0,0
2021-01-01 11:30:00,11,11,0.0,283.72727272727275,100.0,0,0,0.15762626262626264,1.733888888888889,1.033888888888889,0.22222222222222232,0.0,11,4,0,0
2021-01-01 12:00:00,7,7,0.0,277.7142857142857,100.0,0,0,0.1542857142857143,1.08,-0.653888888888889,-0.36363636363636365,0.0,12,4,0,0
2021-01-01 12:30:00,9,9,0.0,247.77777777777777,100.0,0,0,0.13765432098765432,1.238888888888889,0.15888888888888886,0.2857142857142858,0.0,12,4,0,0
2021-01-01 13:00:00,5,5,0.0,517.6,100.0,0,0,0.28755555555555556,1.4377777777777778,0.1988888888888889,-0.4444444444444444,0.0,13,4,0,0
2021-01-01 13:30:00,6,6,0.0,464.3333333333333,100.0,0,0,0.25796296296296295,1.5477777777777777,0.10999999999999988,0.19999999999999996,0.0,13,4,0,0
2021-01-01 14:00:00,12,12,0.0,176.66666666666666,100.0,0,0,0.09814814814814814,1.1777777777777776,-0.3700000000000001,1.0,0.0,14,4,0,0
